aig_name,inputs,latches,outputs,gates,correct_cnt,nonIC3_correct_cnt,ground_time,k_threshold,largest_k,checked_samples,alg_time,ac_cnt,ac_ratio 
cutf3ro.aig_40,8,35,0,626,1000,664,139.918160200119,40,9.27,40,5.52452231884003,986.75,0.98675
cutf3ro.aig_41,8,35,0,626,1000,664,139.918160200119,41,9.26,41,5.6215940284729,987.55,0.98755
cutf3ro.aig_42,8,35,0,626,1000,664,139.918160200119,42,9.35,42,5.87993230819702,989.77,0.98977
cutf3ro.aig_43,8,35,0,626,1000,664,139.918160200119,43,9.26,43,5.92687258005142,987.31,0.98731
cutf3ro.aig_44,8,35,0,626,1000,664,139.918160200119,44,9.32,44,6.23286913394928,990.09,0.99009
cutf3ro.aig_45,8,35,0,626,1000,664,139.918160200119,45,9.28,45,6.24545225858688,989.7,0.9897
cutf3ro.aig_46,8,35,0,626,1000,664,139.918160200119,46,9.51,46,6.38221043348312,991.44,0.99144
cutf3ro.aig_47,8,35,0,626,1000,664,139.918160200119,47,9.41,47,6.76871315717697,988.87,0.98887
cutf3ro.aig_48,8,35,0,626,1000,664,139.918160200119,48,9.42,48,6.66869145154953,988.13,0.98813
cutf3ro.aig_49,8,35,0,626,1000,664,139.918160200119,49,9.55,49,7.10385431289673,989.83,0.98983
lmcs06abp4p1.aig_0,39,54,0,615,998,459,1183.68736886978,0,0,0,0,459,0.459919839679359
lmcs06abp4p1.aig_1,39,54,0,615,998,459,1183.68736886978,1,13.8,1,0.940395786762238,743.68,0.745170340681363
lmcs06abp4p1.aig_2,39,54,0,615,998,459,1183.68736886978,2,21.09,2,2.0307682132721,883.25,0.88502004008016
lmcs06abp4p1.aig_3,39,54,0,615,998,459,1183.68736886978,3,24.99,3,3.05274018287659,963.8,0.965731462925852
lmcs06abp4p1.aig_4,39,54,0,615,998,459,1183.68736886978,4,25.34,4,3.91680793046951,969.21,0.971152304609218
lmcs06abp4p1.aig_5,39,54,0,615,998,459,1183.68736886978,5,25.5,5.03,4.60523934841156,985.33,0.987304609218437
