aig_name,inputs,latches,outputs,gates,correct_cnt,ic3_ac_cnt,ic3_ac_ratio,ic3_timeout,ic3_time,fsis_ac_cnt,fsis_ac_ratio,fsis_timeout,fsis_time,init_alg,all_timeout,gen_threshold,i234_time,if_frame,i234_ac_cnt,i234_ac_ratio 
beemtlphn4f1.aig,116,185,1,4073,771,0,0,0,62.1375648975372,0,0,1,1200.01452445984,Init2,false,8,56.430692,31,2,0.002594033722438
6s403rb1342.aig,270,5468,1,108595,982,0,0,0,3.92905592918396,0,0,0,68.0146336555481,Init2,false,2,10.758193,2,0,0
pdtswvtma6x4p1.aig,5,49,1,2275,463,26,0.056155507559395,0,35.965619802475,0,0,1,1200.01452159882,Init2,false,2,26.043283,29,162,0.349892008639309
pdtvisvsar27.aig,17,130,1,2120,22,12,0.545454545454545,0,0.419426202774048,9,0.409090909090909,0,0.88069486618042,Init2,false,4,0.372659,11,19,0.863636363636364
pdtvisns3p19.aig,21,117,1,3977,600,600,1,0,0.318885326385498,600,1,0,0.429473876953125,Init2,false,2,0.372641,1,600,1
pdtvisvending00.aig,2,34,1,959,720,206,0.286111111111111,0,0.419346809387207,54,0.075,0,0.579822063446045,Init4,false,0,6.008908,1,720,1
6s515rb1.aig,37,441,1,3388,564,192,0.340425531914894,0,0.168919801712036,0,0,1,1200.0141890049,Init2,false,2,0.27273,2,241,0.427304964539007
pdtvisblackjack4.aig,5,104,1,3461,351,0,0,0,0.31926155090332,0,0,0,1.08136248588562,Init2,false,2,1.926901,10,0,0
pdtvisvsar02.aig,17,130,1,2101,599,599,1,0,0.167812585830689,599,1,0,0.279065370559692,Init2,false,2,0.224393,1,599,1
pdtvisvsa16a17.aig,32,236,1,6245,750,750,1,0,0.56975269317627,750,1,0,0.781057834625244,Init2,false,2,0.673355,1,750,1
pdtvsarmultip08.aig,17,130,1,2743,989,985,0.995955510616785,0,0.419560670852661,989,1,0,0.379388809204102,Init4,false,0,0.844677,1,989,1
6s325rb072.aig,634,1756,1,17993,86,1,0.011627906976744,0,0.369112014770508,1,0.011627906976744,0,2.83612751960754,Init4,false,0,30.271072,1,86,1
nusmvguidancep4.aig,84,86,1,1731,938,642,0.684434968017058,0,0.219881534576416,597,0.636460554371002,0,0.33001184463501,Init2,false,16,0.272348,5,826,0.880597014925373
nusmvguidancep8.aig,84,86,1,1747,994,489,0.491951710261569,0,3.07558250427246,488,0.490945674044266,0,4.34039950370789,Init2,false,32,2.226897,19,507,0.510060362173038
pdtvisns3p09.aig,21,117,1,3979,530,4,0.007547169811321,0,1.37261915206909,0,0,0,3.03552317619324,Init2,false,16,1.476384,12,40,0.075471698113208
pdtvisns2p7.aig,16,75,1,2514,615,615,1,0,0.219960451126099,615,1,0,0.279179573059082,Init2,false,2,0.223168,1,615,1
pdtvisvsa16a21.aig,32,236,1,6244,515,515,1,0,0.419549703598022,515,1,0,0.680099487304688,Init2,false,2,0.572564,1,515,1
eijkS208o.aig,10,16,1,146,4,4,1,0,0.068392992019653,4,1,0,659.916877508163,Init2,false,2,0.121663,33,4,1
visarbiter.aig,3,23,1,438,222,1,0.004504504504505,0,0.068536520004273,0,0,0,0.128475904464722,Init2,false,8,0.071779,4,8,0.036036036036036
pdtvisheap03.aig,4,33,1,1149,942,942,1,0,0.16863226890564,942,1,0,0.178903579711914,Init2,false,2,0.172522,1,942,1
nusmvtcasp2.aig,152,173,1,2692,1000,367,0.367,0,1.47249412536621,198,0.198,0,8.50057792663574,Init2,false,16,1.425772,17,494,0.494
oski15a14b32s.aig,1071,3519,1,42938,993,44,0.044310171198389,0,2.82564449310303,0,0,0,188.336570978165,Init2,false,32,6.543623,2,482,0.48539778449144
pdtvisvsa16a08.aig,32,236,1,6312,998,616,0.617234468937876,0,1.57178139686584,993,0.99498997995992,0,1.18194222450256,Init4,false,0,3.150823,1,998,1
pdtvisvsa16a22.aig,32,236,1,6245,489,489,1,0,0.418640613555908,489,1,0,0.680411577224731,Init2,false,2,0.573342,1,489,1
pdtvismiim6.aig,41,86,1,893,746,5,0.006702412868633,0,0.419664621353149,14,0.018766756032172,0,0.178908824920654,Init2,false,16,0.120942,5,134,0.179624664879357
pdtvisns3p04.aig,21,117,1,3983,736,3,0.004076086956522,0,4.12938833236694,0,0,0,28.3060374259949,Init2,false,8,11.956532,16,7,0.009510869565217
bobtuint22neg.aig,213,212,1,2051,762,402,0.52755905511811,0,0.219678163528442,0,0,0,0.680030345916748,Init2,false,4,0.323142,3,658,0.863517060367454
pj2019.aig,476,481,1,25857,986,251,0.254563894523327,0,13.7542066574097,253,0.256592292089249,0,65.9546163082123,Init2,false,4,24.535584,3,414,0.419878296146045
viselevatorp3.aig,28,40,1,1119,616,384,0.623376623376623,0,0.118614196777344,305,0.49512987012987,0,0.179023265838623,Init2,false,4,0.173217,4,387,0.628246753246753
pj2009.aig,336,324,1,16629,1000,268,0.268,0,2.22413539886475,283,0.283,0,11.9093070030212,Init2,false,16,1.876074,4,504,0.504
texaspimainp12.aig,14,239,1,7987,826,65,0.078692493946731,0,0.268374443054199,12,0.01452784503632,0,0.629997253417969,Init2,false,2,0.773653,3,560,0.677966101694915
shift1add256.aig,4,17,1,93,946,920,0.972515856236786,0,0.519443988800049,911,0.963002114164905,0,0.078381061553955,Init4,false,0,1.815743,1,946,1
texasPImainp15.aig,14,239,1,7994,997,37,0.037111334002006,0,0.269121646881104,456,0.457372116349047,0,0.680424451828003,Init2,false,2,0.623904,1,307,0.307923771313942
